Cultivo;Campaña;Provincia;idProvincia;Rendimiento
"Trigo total";2000/01;"BUENOS AIRES";6;2794
"Trigo total";2001/02;"BUENOS AIRES";6;2518
"Trigo total";2002/03;"BUENOS AIRES";6;2177
"Trigo total";2003/04;"BUENOS AIRES";6;2886
"Trigo total";2004/05;"BUENOS AIRES";6;2972
"Trigo total";2005/06;"BUENOS AIRES";6;2665
"Trigo total";2006/07;"BUENOS AIRES";6;3025
"Trigo total";2007/08;"BUENOS AIRES";6;2710
"Trigo total";2008/09;"BUENOS AIRES";6;2290
"Trigo total";2009/10;"BUENOS AIRES";6;2915
"Trigo total";2010/11;"BUENOS AIRES";6;4044
"Trigo total";2011/12;"BUENOS AIRES";6;3879
"Trigo total";2012/13;"BUENOS AIRES";6;3096
"Trigo total";2013/14;"BUENOS AIRES";6;3429
"Trigo total";2014/15;"BUENOS AIRES";6;3091
"Trigo total";2015/16;"BUENOS AIRES";6;3527
"Trigo total";2016/17;"BUENOS AIRES";6;3567
"Trigo total";2017/18;"BUENOS AIRES";6;3864
"Trigo total";2018/19;"BUENOS AIRES";6;3993
"Trigo total";2019/20;"BUENOS AIRES";6;3239
